FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
1005198,9981922,D,01/13/1950 05:25:00,,,
1005199,10049525,D,02/12/1950 12:00:00,,,
1005200,10120403,D,02/11/1950 13:50:00,,,
1005201,10120406,D,02/12/1950 00:30:00,,,
1005202,10120410,D,02/12/1950 12:00:00,,,
1005203,10032625,D,02/12/1950 14:00:00,,,
1005204,10032626,D,02/12/1950 14:00:00,,,
1005205,10032628,D,02/12/1950 14:20:00,,,
1005206,10126027,D,02/13/1950 02:00:00,,,
1005207,10032627,D,02/12/1950 14:20:00,,,
1005208,10049527,D,03/27/1950 05:00:00,,,
1005209,9983002,D,04/02/1950 15:30:00,,,
1005210,10096220,D,04/28/1950 14:17:00,,,
1005211,10096223,D,04/28/1950 19:05:00,,,
1005212,10120411,D,04/28/1950 18:00:00,,,
1005213,10120413,D,05/04/1950 20:30:00,,,
1005214,10032647,D,05/02/1950 03:00:00,,,
1005215,10050384,D,06/03/1950 01:00:00,,,
1005216,10027597,D,06/08/1950 20:15:00,,,
1005217,10146803,D,06/25/1950 21:00:00,,,
1005218,10146804,D,06/25/1950 21:00:00,,,
1005219,10009717,D,12/02/1950 15:15:00,,,
1005220,10009719,D,12/02/1950 16:00:00,,,
